Date,Agenda
2021-09-02,General Lab Session
2021-09-09,Brandon Ricafrente's presention
2021-09-14,Garmann & Luque Viral Assembly Workshop (Brandon Ricafrente's presentation)
2021-09-16,Diana Lee's presentation (Qualifying Practice)
2021-09-16,Garmann & Luque Viral Assembly Workshop (Rees Garmann's presentation)
2021-09-23,Diana Lee's presentation (Qualifying Practice)
2021-09-24,Diana Lee's Qualifying Exam
2021-09-30,Colin Brown's presentation
2021-10-07,Icosahedral Catalogue project
2021-10-14,Icosahedral Catalogue project
2021-10-21,Icosahedral Catalogue project
2021-10-22,Biomath Meeting (Michelle Ann from Segall Lab presentation)
2021-10-26,Capsid Workshop (White Lab presentation)
2021-10-27,Capsid Workshop (Luque Lab presentation)
2021-10-28,Paul Turner's talk on phage therapy
2021-11-9,Capsid Workshop (White Lab presentation)
2021-11-11,Capsid Workshop (Luque Lab presentation)
2021-11-18,Aurora Vogel's presentation
2021-12-2,Caitlin Bartels' presentation
2021-12-3,Ugly Sweater Christmas Pub Crawl
2021-12-6,Capsid Assembly Workshop (Garmann Lab)
2021-12-8,Capsid Assembly Workshop (Garmann Lab)
2021-12-9,Brandon Ricafrente's presentation
2021-12-16,Aurora Vogel's presentation
